time_ms,temp1_v,temp2_v,trigger
 27969,160,177,1
 27987,161,182,1
 28006,161,181,1
 28025,161,182,1
 28044,161,182,1
 28062,160,182,1
 28080,161,181,1
 28100,161,182,1
 28118,160,182,1
 28137,160,183,1
 28156,161,183,0
 28175,160,182,0
 28193,160,182,1
 28212,161,177,1
 28231,160,182,1
 28249,161,182,1
 28268,161,182,1
 28287,161,182,1
 28306,160,182,1
 28324,160,183,1
 28343,161,182,1
 28362,160,182,1
 28380,160,182,1
 28399,160,182,1
 28418,160,181,1
 28437,161,181,1
 28455,161,182,1
 28474,161,182,1
 28493,160,182,0
 28512,162,182,0
 28530,161,176,1
 28548,160,181,1
 28568,161,182,1
 28586,161,182,1
 28605,160,182,1
 28624,160,182,1
 28643,160,182,1
 28661,160,183,1
 28680,160,182,1
 28699,161,183,1
 28717,161,181,1
 28736,161,182,1
 28755,160,183,1
 28774,161,182,1
 28792,160,182,1
 28811,161,182,1
 28830,161,182,0
 28848,161,182,0
 28867,161,182,1
 28886,161,182,1
 28905,160,182,1
 28923,161,182,1
 28942,161,182,1
 28961,161,182,1
 28980,160,182,1
 28998,161,182,1
 29017,159,182,1
 29036,160,182,1
 29054,161,180,1
 29073,160,181,1
 29092,161,182,1
 29111,161,182,1
 29129,160,178,1
 29147,161,182,1
 29167,161,182,0
 29185,161,182,1
 29204,161,182,1
 29223,160,182,1
 29242,161,182,1
 29260,161,182,1
 29279,160,182,1
 29298,160,182,1
 29316,161,182,1
 29335,161,181,1
 29354,160,182,1
 29373,161,182,1
 29391,161,176,1
 29410,160,182,1
 29429,163,182,1
 29448,161,182,1
 29466,161,181,1
 29485,161,183,0
 29504,160,183,0
 29522,161,182,1
 29541,160,182,1
 29560,160,182,1
 29579,160,182,1
 29597,161,182,1
 29616,161,182,1
 29635,160,182,1
 29653,160,183,1
 29672,160,182,1
 29691,161,180,1
 29710,161,182,1
 29728,160,182,1
 29747,161,183,1
 29766,161,182,1
 29784,160,182,1
 29803,164,183,1
 29822,162,183,0
 29841,161,192,0
 29859,161,182,1
 29878,161,182,1
 29897,160,183,1
 29915,160,180,1
 29934,161,182,1
 29953,160,182,1
 29972,160,182,1
 29990,160,181,1
 30009,160,182,1
 30028,161,183,1
 30047,160,182,1
 30065,161,182,1
 30084,161,181,1
 30103,159,179,1
 30121,161,182,1
 30140,161,179,1
 30159,161,182,0
 30178,160,182,0
 30196,161,182,1
 30216,161,182,1
 30234,161,182,1
 30252,161,182,1
 30271,161,182,1
 30290,161,182,1
 30309,160,182,1
 30327,161,183,1
 30346,161,179,1
 30365,161,182,1
 30383,160,182,1
 30402,161,182,1
 30421,160,182,1
 30440,161,182,1
 30458,161,179,1
 30477,161,183,0
 30496,159,183,0
 30515,161,183,1
 30533,161,183,1
 30552,160,183,1
 30571,160,183,1
 30589,161,182,1
 30608,161,182,1
 30627,160,175,1
 30646,159,182,1
 30664,161,181,1
 30683,160,182,1
 30702,161,183,1
 30720,161,182,1
 30739,160,184,1
 30758,161,182,1
 30777,160,182,1
 30795,160,175,1
 30815,161,183,0
 30833,161,182,0
 30851,161,183,1
 30870,160,182,1
 30889,161,182,1
 30908,160,183,1
 30926,161,182,1
 30945,161,181,1
 30964,160,178,1
 30982,161,182,1
 31001,161,185,1
 31020,161,182,1
 31039,161,183,1
 31057,160,184,1
 31076,159,182,1
 31095,161,183,1
 31114,161,175,1
 31132,161,179,1
 31151,161,183,0
 31170,161,184,0
 31188,161,183,1
 31207,161,183,1
 31226,161,179,1
 31245,160,182,1
 31263,159,183,1
 31283,160,183,1
 31301,160,180,1
 31319,161,176,1
 31338,160,182,1
 31357,160,183,1
 31376,161,183,1
 31394,159,183,1
 31414,160,182,1
 31432,160,185,1
 31450,161,183,1
 31469,161,182,0
 31488,161,182,0
 31507,161,183,1
 31525,161,183,1
 31544,160,183,1
 31563,160,183,1
 31582,162,182,1
 31600,161,178,1
 31619,160,182,1
 31638,161,182,1
